label,i_max,t_max,threads,time_sec,normalized
results_test_guided16k,50000,131072,6,4.841730,7.387893677e-10
results_test_guided16k,50000,131072,8,4.638790,7.078231812e-10
results_test_guided16k,50000,131072,12,5.346170,8.157608032e-10
results_test_guided16k,50000,131072,14,5.466640,8.341430664e-10
results_test_guided16k,50000,131072,16,5.578920,8.512756348e-10
results_test_guided16k,50000,131072,32,9.389490,1.432722473e-09
results_test_guided16k,100000,65536,1,10.834300,1.653182983e-09
results_test_guided16k,100000,65536,2,5.709490,8.711990356e-10
results_test_guided16k,100000,65536,4,3.979870,6.072799683e-10
results_test_guided16k,100000,65536,6,2.388440,3.644470215e-10
results_test_guided16k,100000,65536,8,2.439610,3.722549438e-10
results_test_guided16k,100000,65536,12,2.689540,4.103912354e-10
results_test_guided16k,100000,65536,14,2.656320,4.053222656e-10
results_test_guided16k,100000,65536,16,2.909850,4.440078735e-10
results_test_guided16k,100000,65536,32,4.699780,7.171295166e-10
results_test_guided16k,1000000,8192,1,15.252600,1.861889648e-09
results_test_guided16k,1000000,8192,2,7.509140,9.166430664e-10
results_test_guided16k,1000000,8192,4,4.312180,5.263891602e-10
results_test_guided16k,1000000,8192,6,3.536400,4.316894531e-10
results_test_guided16k,1000000,8192,8,3.277760,4.001171875e-10
results_test_guided16k,1000000,8192,12,1.662240,2.029101562e-10
results_test_guided16k,1000000,8192,14,1.437970,1.755334473e-10
results_test_guided16k,1000000,8192,16,1.189420,1.451928711e-10
results_test_guided16k,1000000,8192,32,1.138250,1.389465332e-10
results_test_guided16k,5000000,1024,1,10.592500,2.068847656e-09
results_test_guided16k,5000000,1024,2,5.720900,1.117363281e-09
results_test_guided16k,5000000,1024,4,3.898370,7.614003906e-10
results_test_guided16k,5000000,1024,6,3.832210,7.484785156e-10
results_test_guided16k,5000000,1024,8,3.692020,7.210976562e-10
results_test_guided16k,5000000,1024,12,9.938710,1.941154297e-09
results_test_guided16k,5000000,1024,14,6.866180,1.341050781e-09
results_test_guided16k,5000000,1024,16,9.386730,1.833345703e-09
results_test_guided16k,5000000,1024,32,7.211580,1.408511719e-09
results_test_guided16k,10000000,512,1,10.535700,2.057753906e-09
results_test_guided16k,10000000,512,2,5.554350,1.084833984e-09
results_test_guided16k,10000000,512,4,3.932020,7.679726563e-10
results_test_guided16k,10000000,512,6,3.688290,7.203691406e-10
results_test_guided16k,10000000,512,8,3.684990,7.197246094e-10
results_test_guided16k,10000000,512,12,6.529460,1.275285156e-09
results_test_guided16k,10000000,512,14,6.372840,1.244695313e-09
results_test_guided16k,10000000,512,16,7.197380,1.405738281e-09
results_test_guided16k,10000000,512,32,9.382090,1.832439453e-09
results_test_guided16k,50000000,256,1,29.276500,2.287226562e-09
results_test_guided16k,50000000,256,2,14.896800,1.163812500e-09
results_test_guided16k,50000000,256,4,9.963150,7.783710938e-10
results_test_guided16k,50000000,256,6,9.121700,7.126328125e-10
results_test_guided16k,50000000,256,8,8.949990,6.992179687e-10
results_test_guided16k,50000000,256,12,11.913200,9.307187500e-10
results_test_guided16k,50000000,256,14,11.458700,8.952109375e-10
results_test_guided16k,50000000,256,16,11.276400,8.809687500e-10
results_test_guided16k,50000000,256,32,10.350100,8.086015625e-10
results_test_guided16k,100000000,256,1,54.412400,2.125484375e-09
results_test_guided16k,100000000,256,2,28.855300,1.127160156e-09
results_test_guided16k,100000000,256,4,20.322600,7.938515625e-10
results_test_guided16k,100000000,256,6,18.187500,7.104492188e-10
results_test_guided16k,100000000,256,8,17.842700,6.969804688e-10
results_test_guided16k,100000000,256,12,20.304800,7.931562500e-10
results_test_guided16k,100000000,256,14,19.174500,7.490039062e-10
results_test_guided16k,100000000,256,16,17.878900,6.983945313e-10
results_test_guided16k,100000000,256,32,19.916500,7.779882812e-10
results_test_guided1k,1000,8388608,1,17.782200,2.119803429e-09
results_test_guided1k,1000,8388608,2,20.554500,2.450287342e-09
results_test_guided1k,1000,8388608,4,22.975200,2.738857269e-09
results_test_guided1k,1000,8388608,6,27.248900,3.248322010e-09
results_test_guided1k,1000,8388608,8,30.334300,3.616130352e-09
results_test_guided1k,1000,8388608,12,75.057600,8.947563171e-09
results_test_guided1k,1000,8388608,14,84.298100,1.004911661e-08
results_test_guided1k,1000,8388608,16,92.267700,1.099916697e-08
results_test_guided1k,1000,8388608,32,92.130500,1.098281145e-08
results_test_guided1k,10000,1048576,1,17.178100,1.638231277e-09
results_test_guided1k,10000,1048576,2,17.725100,1.690397263e-09
results_test_guided1k,10000,1048576,4,19.551800,1.864604950e-09
results_test_guided1k,10000,1048576,6,21.295500,2.030897141e-09
results_test_guided1k,10000,1048576,8,22.084500,2.106142044e-09
results_test_guided1k,10000,1048576,12,26.170900,2.495851517e-09
results_test_guided1k,10000,1048576,14,27.148900,2.589120865e-09
results_test_guided1k,10000,1048576,16,28.099700,2.679796219e-09
results_test_guided1k,10000,1048576,32,30.136800,2.874069214e-09
results_test_guided1k,50000,131072,1,11.027300,1.682632446e-09
results_test_guided1k,50000,131072,2,7.077920,1.080004883e-09
results_test_guided1k,50000,131072,4,4.111160,6.273132324e-10
results_test_guided1k,50000,131072,6,4.234200,6.460876465e-10
results_test_guided1k,50000,131072,8,4.860070,7.415878296e-10
results_test_guided1k,50000,131072,12,5.023130,7.664688110e-10
results_test_guided1k,50000,131072,14,5.678180,8.664215088e-10
results_test_guided1k,50000,131072,16,5.373940,8.199981689e-10
results_test_guided1k,50000,131072,32,9.380420,1.431338501e-09
results_test_guided1k,100000,65536,1,10.944300,1.669967651e-09
results_test_guided1k,100000,65536,2,5.461510,8.333602905e-10
results_test_guided1k,100000,65536,4,4.125610,6.295181274e-10
results_test_guided1k,100000,65536,6,2.400420,3.662750244e-10
results_test_guided1k,100000,65536,8,2.364480,3.607910156e-10
results_test_guided1k,100000,65536,12,2.908210,4.437576294e-10
results_test_guided1k,100000,65536,14,2.660090,4.058975220e-10
results_test_guided1k,100000,65536,16,2.619340,3.996795654e-10
results_test_guided1k,100000,65536,32,4.769670,7.277938843e-10
results_test_guided1k,1000000,8192,1,15.481000,1.889770508e-09
results_test_guided1k,1000000,8192,2,7.941020,9.693627930e-10
results_test_guided1k,1000000,8192,4,4.380190,5.346911621e-10
results_test_guided1k,1000000,8192,6,3.715030,4.534948730e-10
results_test_guided1k,1000000,8192,8,3.379250,4.125061035e-10
